,id,name,num_territories,region,region_id,Country Name,net_migration_2012,net_imports_2012,net_imports_2013,net_imports_2014,net_imports_2015,net_imports_2016,net_exports_2012,net_exports_2013,net_exports_2014,net_exports_2015,net_exports_2016
112,41,Dominican Republic,0,Latin America & the Caribbean,5,Dominican Republic,-153010,33.84161703,31.47546484,30.73259925,29.28281141,28.90451221,24.64260604,25.30412233,25.59871274,24.71965903,25.1680976
113,42,Ecuador,0,Latin America & the Caribbean,5,Ecuador,-38001,31.58630314,30.96786776,29.49743509,23.66071097,19.65090135,30.16480927,28.6382883,27.99145996,20.67359743,19.30986611
114,44,El Salvador,0,Latin America & the Caribbean,5,El Salvador,-240415,44.07666208,45.57731471,43.5716843,41.89880832,39.34733391,25.62220748,26.37151846,25.96300106,25.78670476,24.86488463
115,53,Grenada,0,Latin America & the Caribbean,5,Grenada,-4274,49.46782438,50.35575403,44.23718306,42.42109356,41.85108359,25.81517462,25.42766209,25.59511654,24.11485792,23.70672672
116,54,Guatemala,0,Latin America & the Caribbean,5,Guatemala,-50131,36.11393306,34.82865631,33.55949655,30.14581684,27.29512523,24.86857872,23.7198562,23.15841855,21.16044686,19.52674267
117,57,Guyana,0,Latin America & the Caribbean,5,Guyana,-27278,86.81505586,78.64035302,73.30581713,63.69787581,58.50005761,58.44484834,51.64965073,46.82587657,44.07838717,47.21283095
118,58,Haiti,0,Latin America & the Caribbean,5,Haiti,-150000,53.16084509,52.29083966,52.73277414,50.54432495,51.22132503,16.90722152,18.25539001,18.51724182,20.00736467,20.58754911
119,60,Honduras,0,Latin America & the Caribbean,5,Honduras,-15001,70.28541699,68.36455893,65.41244255,63.09377131,58.0283523,50.90279882,47.94149032,47.56265473,45.99667273,42.72049885
120,65,Jamaica,0,Latin America & the Caribbean,5,Jamaica,-93096,51.87203754,52.72042865,53.49275711,45.16543676,47.25321945,30.19283277,30.59720578,31.25835512,29.80548743,31.13099645
121,83,Mexico,0,Latin America & the Caribbean,5,Mexico,-300000,33.76336302,32.66271015,33.36486229,37.09631247,39.98821838,32.64495601,31.78192241,32.28648448,35.13602179,38.15747587
122,92,Nicaragua,0,Latin America & the Caribbean,5,Nicaragua,-135000,67.70811292,65.76993839,61.69012794,58.19257727,56.96552333,47.46917556,45.21426949,45.00807225,39.98143638,38.96645249
123,100,Panama,0,Latin America & the Caribbean,5,Panama,28105,79.71240234,68.61728636,61.41325173,56.19549835,49.57082828,70.65691085,60.47013869,53.56978715,49.45303601,44.76903368
124,102,Paraguay,0,Latin America & the Caribbean,5,Paraguay,-86700,48.70691558,44.82373241,42.88170474,41.48880923,39.41483044,49.92148468,49.56396402,45.18906787,42.28568084,42.09338805
125,103,Peru,0,Latin America & the Caribbean,5,Peru,-240000,25.17028089,24.97360531,24.21475875,23.71047273,22.35806258,27.44961437,24.80309747,22.57770069,21.29796673,22.4466988
126,109,Saint Lucia,0,Latin America & the Caribbean,5,St. Lucia,40,57.86761931,55.8532345,50.92567569,48.18757773,53.16613895,46.48552687,46.11177228,45.28804842,45.59963048,47.76624307
127,110,Saint Vincent and the Grenadines,0,Latin America & the Caribbean,5,St. Vincent and the Grenadines,-5000,57.92700184,58.01563254,56.58207134,52.24746574,51.08190868,27.51631269,25.22961888,25.53785695,25.51166173,25.6966927
128,123,Suriname,0,Latin America & the Caribbean,5,Suriname,-5000,52.07496653,52.97685649,52.91430554,55.38424621,49.18392785,57.74005111,50.42694777,44.95778883,38.05267263,45.07997193
129,138,Uruguay,0,Latin America & the Caribbean,5,Uruguay,-30000,29.14152473,26.36471005,25.54496245,22.85038956,20.17487162,25.91962942,23.35313642,23.54266162,22.47785125,21.35263325
130,141,Venezuela,0,Latin America & the Caribbean,5,"Venezuela, RB",-69121,24.23255313,29.51278296,,,,26.17101425,24.7649783,,,
