"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Europe & Central Asia","ECS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9799499511719","19.1406402587891","19.8659801483154","19.9446201324463","20.8904800415039","21.6685390472412","22.0422649383545","21.2369499206543","18.9472742080689","22.2993803024292","","","",
"Ecuador","ECU","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8100700378418","2.84647011756897","","","","","","","","","11.0494403839111","10.3875904083252","11.0935897827148","10.4807996749878","11.6144304275513","10.3430595397949","8.88370990753174","",
"Egypt, Arab Rep.","EGY","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9839897155762","17.5304393768311","17.2726402282715","17.7547798156738","17.9258804321289","18.1693496704102","18.6204252243042","18.7002296447754","18.1726455688476","19.0405197143555","18.9733695983887","21.2762908935547","21.5568647384643","20.8601045608521","18.9472742080689","21.0971355438232","21.223090171814","","",
"Eritrea","ERI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1401300430298","10.5149002075195","","7.87377023696899","","","","","","","","","","","","",
"Spain","ESP","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.758129119873","17.5304393768311","17.0975799560547","17.4864196777344","17.7628593444824","18.1693496704102","18.5235996246338","18.7002296447754","19.0171909332275","19.0405197143555","20.0016098022461","21.2762908935547","21.0727291107178","20.9553298950195","19.0416393280029","17.8632698059082","17.6336708068848","","",
"Estonia","EST","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1281204223633","17.2098503112793","20.8730297088623","","18.2333106994629","19.453950881958","19.0564308166504","18.7172508239746","19.1406402587891","","19.0461502075195","25.0566997528076","25.8216495513916","23.9558506011963","22.282039642334","22.032470703125","23.2759094238281","19.711799621582","","",
"Ethiopia","ETH","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8687591552734","","","","","","","","","","","","9.05414962768555","7.91418981552124","8.88070011138916","5.7777099609375","","","","",
"European Union","EUU","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9839897155762","17.5578193664551","17.4477005004883","17.7547798156738","18.6899156570435","18.0140695571899","18.6204252243042","19.1406402587891","19.8659801483154","19.210599899292","21.202449798584","21.5398998260498","22.0422649383545","20.8601045608521","18.8529090881348","22.3601608276367","21.7294950485229","","",
"Fragile and conflict affected situations","FCS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.815860748291","16.3201999664307","16.730110168457","17.2085094451904","17.7046203613281","17.7809295654297","17.218469619751","17.3281002044678","16.7914600372314","17.7035503387451","19.5186500549316","20.121410369873","20.2226791381836","0","20.801830291748","21.2351608276367","","",
"Fiji","FJI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3811798095703","","","","","","","15.8553304672241","","12.565110206604","","","",
"France","FRA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4008197784424","17.4477005004883","17.4375705718994","17.6954708099365","17.6702709197998","17.8815498352051","17.485279083252","17.1697292327881","17.7944393157959","17.4976196289063","17.9666404724121","18.1258792877197","17.9030303955078","18.4785404205322","18.016529083252","","","",
"Faroe Islands","FRO","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.41483020782471","","","","","",
"United Kingdom","GBR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6240701675415","12.4587602615356","12.8522796630859","13.3703498840332","14.5266895294189","16.440559387207","15.9952697753906","17.1152992248535","19.8659801483154","21.059139251709","20.8904800415039","22.4613208770752","24.6147708892822","24.9094505310059","","23.2067203521729","22.4529399871826","","",
