,id,name_DOL,num_territories,region,region_id,name_WB,net_migration_2012,net_imports_2012,net_imports_2013,net_imports_2014,net_imports_2015,net_imports_2016,Country Name,net_exports_2012,net_exports_2013,net_exports_2014,net_exports_2015,net_exports_2016,name_HTI
88,93,Niger,0,Sub-Saharan Africa,4,Niger,-28497,0.39361615,0.390807426,0.392018998,0.394395335,0,Niger,0.21858914,0.226355003,0.209800506,0.171769086,0,Niger
89,94,Nigeria,0,Sub-Saharan Africa,4,Nigeria,-300000,0.129413891,0.129989534,0.124500676,0.10492416,0,Nigeria,0.314387476,0.180499066,0.18435126,0.10631935,0,Nigeria
90,107,Rwanda,0,Sub-Saharan Africa,4,Rwanda,-79101,0.318647085,0.319334551,0.329125503,0.350738751,0.331520097,Rwanda,0.128170895,0.140799351,0.147274058,0.14271323,0.15049864,Rwanda
91,113,Senegal,0,Sub-Saharan Africa,4,Senegal,-99996,0.48979305,0.492964157,0.472842832,0.461092603,0.451808452,Senegal,0.279505862,0.284223818,0.281122585,0.291862259,0.287421909,Senegal
92,115,Seychelles,0,Sub-Saharan Africa,4,Seychelles,-2201,1.094287391,0.92845035,0.981941946,0,0,Seychelles,0.927831279,0.854736009,0.830941515,0,0,Seychelles
93,116,Sierra Leone,0,Sub-Saharan Africa,4,Sierra Leone,-21000,0.603687918,0.588260439,0.524257559,0.474400654,0.539138555,Sierra Leone,0.329053271,0.286267571,0.307600394,0.193625437,0.235440104,Sierra Leone
94,118,Somalia,3,Sub-Saharan Africa,4,Somalia,-226869,0,0.620702541,0.61661059,0.616540084,0.630368345,Somalia,0,0.145553064,0.145032761,0.144978903,0.148624739,Somalia
95,119,South Africa,0,Sub-Saharan Africa,4,South Africa,806500,0.311758283,0.332721998,0.329457128,0.314570077,0.301760807,South Africa,0.297238872,0.308801087,0.312055175,0.303705727,0.303220807,South Africa
96,120,South Sudan,0,Sub-Saharan Africa,4,South Sudan,425000,0.452595789,0.38133445,0.340126331,0.575786809,0,South Sudan,0.101216163,0.16195336,0.201512309,0.097769917,0,South Sudan
97,121,Sudan,0,Sub-Saharan Africa,4,Sudan,-589384,0.155018091,0.148879563,0.113096997,0.10918578,0.125270773,Sudan,0.092191917,0.088405518,0.081491345,0.081822261,0.098288518,Sudan
98,124,Swaziland,0,Sub-Saharan Africa,4,Swaziland,-6000,0.551166836,0.526535747,0.538025294,0.48686667,0,Swaziland,0.451045631,0.465052346,0.490265224,0.482634962,0,Swaziland
99,126,Tanzania,2,Sub-Saharan Africa,4,Tanzania,-199999,0.331117697,0.310694295,0.297883372,0.263439988,0.192130731,Tanzania,0.212853099,0.176512264,0.194141807,0.216212636,0.175639528,Tanzania
100,129,Togo,0,Sub-Saharan Africa,4,Togo,-9994,0.605056806,0.723247688,0.629199354,0.676045006,0.626399927,Togo,0.466717291,0.527086724,0.44498453,0.422173139,0.427112144,Togo
101,136,Uganda,0,Sub-Saharan Africa,4,Uganda,-150000,0.325810085,0.302547498,0.275086566,0.284272411,0.277128208,Uganda,0.198866533,0.200699929,0.177586347,0.175023951,0.176307787,Uganda
